imageName,realT,realR
45.png,"[-0.043865746357869814, -0.10054962861382238, 1.1436793818245825]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
46.png,"[-0.0440943155106481, -0.10145727511136554, 1.1561442899260446]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
47.png,"[-0.04432288466342638, -0.10236492160890859, 1.1686091980275068]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
48.png,"[-0.044551453816204664, -0.10327256810645175, 1.181074106128969]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
49.png,"[-0.04478002296898295, -0.1041802146039949, 1.193539014230431]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
50.png,"[-0.017554361874034644, -0.10060097956776054, 1.1441581147841706]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
51.png,"[-0.01778293102681293, -0.1015086260653037, 1.1566230228856327]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
52.png,"[-0.01801150017959121, -0.10241627256284674, 1.1690879309870947]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
53.png,"[-0.018240069332369494, -0.1033239190603899, 1.1815528390885568]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
54.png,"[-0.01846863848514778, -0.10423156555793306, 1.1940177471900189]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
55.png,"[0.008757022609800554, -0.10065233052169881, 1.1446368477437585]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
56.png,"[0.008528453457022273, -0.10155997701924196, 1.1571017558452208]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
57.png,"[0.008299884304243992, -0.10246762351678501, 1.1695666639466828]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
58.png,"[0.008071315151465704, -0.10337527001432817, 1.182031572048145]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
59.png,"[0.007842745998687423, -0.10428291651187133, 1.1944964801496072]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
60.png,"[0.03506840709363571, -0.10070368147563707, 1.1451155807033466]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
61.png,"[0.034839837940857425, -0.10161132797318023, 1.157580488804809]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
62.png,"[0.03461126878807915, -0.10251897447072328, 1.170045396906271]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
63.png,"[0.03438269963530086, -0.10342662096826644, 1.182510305007733]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
64.png,"[0.034154130482522575, -0.1043342674658096, 1.194975213109195]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
65.png,"[0.06137979157747086, -0.10075503242957523, 1.1455943136629347]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
66.png,"[0.06115122242469257, -0.10166267892711839, 1.1580592217643968]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
67.png,"[0.0609226532719143, -0.10257032542466143, 1.170524129865859]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
68.png,"[0.06069408411913601, -0.10347797192220459, 1.1829890379673211]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
69.png,"[0.06046551496635772, -0.10438561841974775, 1.1954539460687832]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
70.png,"[0.08769117606130605, -0.1008063833835135, 1.1460730466225229]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
71.png,"[0.08746260690852778, -0.10171402988105666, 1.1585379547239851]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
72.png,"[0.0872340377557495, -0.1026216763785997, 1.1710028628254472]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
73.png,"[0.0870054686029712, -0.10352932287614286, 1.1834677709269092]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
74.png,"[0.08677689945019293, -0.10443696937368602, 1.1959326790283713]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
75.png,"[0.11400256054514127, -0.10085773433745177, 1.146551779582111]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
76.png,"[0.11377399139236297, -0.10176538083499492, 1.159016687683573]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
77.png,"[0.11354542223958469, -0.10267302733253797, 1.171481595785035]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
78.png,"[0.11331685308680642, -0.10358067383008113, 1.1839465038864971]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
79.png,"[0.11308828393402812, -0.10448832032762428, 1.1964114119879594]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
80.png,"[0.1403139450289764, -0.10090908529139003, 1.1470305125416989]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
81.png,"[0.1400853758761981, -0.10181673178893319, 1.1594954206431611]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
82.png,"[0.13985680672341982, -0.10272437828647624, 1.1719603287446232]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
83.png,"[0.13962823757064155, -0.1036320247840194, 1.1844252368460852]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
84.png,"[0.13939966841786325, -0.10453967128156255, 1.1968901449475475]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
85.png,"[0.16662532951281156, -0.10096043624532819, 1.1475092455012872]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
86.png,"[0.16639676036003326, -0.10186808274287135, 1.1599741536027492]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
87.png,"[0.16616819120725498, -0.10277572924041439, 1.1724390617042113]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
88.png,"[0.1659396220544767, -0.10368337573795755, 1.1849039698056734]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
89.png,"[0.1657110529016984, -0.10459102223550071, 1.1973688779071354]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
90.png,"[0.19293671399664675, -0.10101178719926646, 1.147987978460875]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
91.png,"[0.19270814484386845, -0.10191943369680961, 1.1604528865623374]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
92.png,"[0.19247957569109017, -0.10282708019435266, 1.1729177946637994]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
93.png,"[0.1922510065383119, -0.10373472669189582, 1.1853827027652615]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
94.png,"[0.1920224373855336, -0.10464237318943898, 1.1978476108667235]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
95.png,"[0.21924809848048193, -0.10106313815320472, 1.1484667114204632]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
96.png,"[0.2190195293277037, -0.10197078465074788, 1.1609316195219255]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
97.png,"[0.2187909601749254, -0.10287843114829093, 1.1733965276233875]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
98.png,"[0.21856239102214708, -0.10378607764583409, 1.1858614357248496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
99.png,"[0.21833382186936884, -0.10469372414337724, 1.1983263438263116]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
